County,Incentive Type,EV Type,Max Amount,Requirements,Low Income,One-time Use,Program Name or Provider,Start Date,End Date,Customer
Alameda,Rebate,BEV,2000,Yes,No,Yes,Alameda Municipal Power,,,
Alameda,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Alameda,Grant,Any,5000,Yes,Yes,Yes,Clean Vehicle Assistance Program,6/1/2018,,
Alameda,Toll discount,CAV,7,Yes,No,No,California Air Resources Board,1/1/2019,,
Alameda,Rebate,EV charger,800,Yes,No,Yes,Alameda Municipal Power,,,
Alameda,Rebate,BEV,1000,Yes,Yes,Yes,Alameda Municipal Power,,,
All,Reward,BEV,750,Yes,No,No,California Clean Fuel Reward,11/17/2020,,
All,Rebate,FCEV,4500,Yes,No,No,CVRP,2009,,
All,Rebate,BEV,2000,Yes,No,Yes,CVRP,2009,,
All,Rebate,PHEV,1000,Yes,No,Yes,CVRP,2009,,
All,Rebate,Any,2500,Yes,Yes,No,CVRP,2009,,
All,Tax Credit,Any,7500,Yes,No,Yes,IRS,1/1/2010,12/31/2021,
All,HOV,Any,,Yes,No,No,DMV,1/1/2020,,
All,Tax Credit,FCEV,8000,Yes,No,Yes,IRS,1/1/2010,12/31/2021,
All,Reward,PHEV,750,Yes,No,No,California Clean Fuel Reward,11/17/2020,,
Contra Costa,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Contra Costa,Grant,Any,5000,Yes,Yes,Yes,CHDC Vehicle Financing,,,
Contra Costa,Toll discount,CAV,7,Yes,No,No,California Air�Resources Board,1/1/2019,,
El Dorado,Rebate,Any,599,Yes,No,No,El Dorado Air Quality Management District,,,
Fresno,Rebate,BEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Fresno,Rebate,FCEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Fresno,Rebate,PHEV,2500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Fresno,Rebate,PZEV,2000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Fresno,Rebate,SULEV,1500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Fresno,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Imperial,Rebate,EV charger,500,Yes,No,Yes,Imperial Irrigation District,,,
Inyo,Rebate,Any,1000,Yes,No,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Inyo,Rebate,Any,3000,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Kern,Voucher,ZEV,4000,Yes,No,No,Eastern Kern Air Pollution Control District,10/1/2016,,
Kern,Voucher,PZEV,2000,Yes,No,No,Eastern Kern Air Pollution Control District,10/1/2016,,
Kern,Rebate,BEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kern,Rebate,FCEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kern,Rebate,PHEV,2500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kern,Rebate,PZEV,2000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kern,Rebate,SULEV,1500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kern,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Kern,Rebate,Any,1000,Yes,No,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Kern,Rebate,Any,3000,Yes,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,,
Kings,Rebate,BEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kings,Rebate,FCEV,3000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kings,Rebate,PHEV,2500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kings,Rebate,PZEV,2000,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kings,Rebate,SULEV,1500,Yes,No,Yes,San Joaquin Valley Air Pollution Control District,,,
Kings,Grant,Any,9500,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,,
Lassen,Rebate,BEV,500,Yes,No,Yes,Plumas-Sierra Rural Electric Cooperative,,,
Lassen,Rebate,PHEV,500,Yes,No,Yes,Plumas-Sierra Rural Electric Cooperative,,,
