id. Response ID,Year[Month Year...ate submitted]],Carmain,Previous Plug in HEVs,Previous BatteryEVs,Previous HybridEVs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Highest Level of Education,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual Vehicle MilesTraveled Estimate ,,,,,,,
FCV_1_3,2017,2016 Toyota Mirai,1,0,0,275000,2.52,1,3,0.01,2,65,0,2,14622,,,,,,,
FCV_1_4,2017,2016 Toyota Mirai,0,0,1,275000,2.76,1,4,10.69,3,65,0,3,9197.142857,,,,,,,
FCV_1_2,2017,2016 Toyota Mirai,1,1,0,,,1,4,9.39,5,55,1,4,15360,,,,,,,
FCV_1_15,2017,2017 Toyota Mirai,1,0,0,125000,2.6,1,2,17.63,2,55,0,3,5082.352941,,,,,,,
FCV_1_8,2017,2016 Toyota Mirai,0,0,1,175000,1.23,1,4,3.53,2,75,0,2,13025.45455,,,,,,,
FCV_1_11,2017,2016 Toyota Mirai,0,0,1,500000,1.08,1,2,28.05,3,45,0,3,18000,,,,,,,
FCV_1_14,2017,2017 Toyota Mirai,0,0,0,125000,2.44,1,3,13.35,4,45,0,2,13224,,,,,,,
FCV_1_16,2017,2017 Honda Clarity,1,0,1,225000,1.44,1,3,34.77,4,45,0,3,16080,,,,,,,
FCV_1_17,2017,2016 Toyota Mirai,0,0,0,125000,0.85,1,3,32.65,2,35,0,2,18600,,,,,,,
FCV_1_18,2017,2017 Toyota Mirai,1,0,1,175000,2.65,1,4,23.41,2,65,0,2,12040,,,,,,,
FCV_1_19,2017,2017 Honda Clarity,0,1,0,175000,2.76,1,4,4.42,4,45,0,2,17000,,,,,,,
FCV_1_21,,2017 Toyota Mirai,0,0,0,,,,,8.15,5,,,4,,,,,,,,
FCV_1_22,2017,1915 Hyundai Tuscon,0,0,1,75000,2.6,1,4,,3,75,0,4,14672.86957,,,,,,,
FCV_1_23,2017,2016 Hyundai Tuscon FCV,0,0,1,75000,-1.74,1,3,10.86,1,65,0,1,6770.769231,,,,,,,
FCV_1_24,2017,2016 Toyota Mirai,0,0,1,275000,-2.86,1,4,5.71,2,65,0,2,10200,,,,,,,
FCV_1_25,2017,2016 Toyota Mirai,1,0,1,,1.58,1,4,20.63,3,55,0,4,7963.636364,,,,,,,
FCV_1_26,,2017 Honda Clarity,0,0,1,,,,,,3,55,0,3,,,,,,,,
FCV_1_27,2017,2016 Toyota Mirai,1,1,0,325000,1.56,1,4,91.78,2,55,0,3,15000,,,,,,,
FCV_1_28,2017,2017 Toyota Mirai,0,0,1,125000,,1,3,5.9,2,35,1,2,7500,,,,,,,
