year,county,fuel_type,make,model,number_of_vehicles
2015,Alameda,BEV,BMW,i3,109
2015,Alameda,BEV,Chevrolet,Spark EV,181
2015,Alameda,BEV,FIAT,500e,924
2015,Alameda,BEV,Ford,Focus,92
2015,Alameda,BEV,Kia,Soul EV,59
2015,Alameda,BEV,Mercedes-Benz,B-Class,164
2015,Alameda,BEV,Mitsubishi,i-MiEV,3
2015,Alameda,BEV,Nissan,Leaf,1170
2015,Alameda,BEV,Smart,Fortwo BEV Drive,31
2015,Alameda,BEV,Tesla,Model S,643
2015,Alameda,BEV,Tesla,Model X,4
2015,Alameda,BEV,Toyota,RAV4 EV,5
2015,Alameda,BEV,Volkswagen,e-Golf,385
2015,Alameda,PHEV,BMW,i3 REx,281
2015,Alameda,PHEV,BMW,i8,13
2015,Alameda,PHEV,BMW,X5,8
2015,Alameda,PHEV,Cadillac,ELR,10
2015,Alameda,PHEV,Chevrolet,Volt,593
2015,Alameda,PHEV,Ford,C-MAX Energi,167
2015,Alameda,PHEV,Ford,Fusion Energi,244
2015,Alameda,PHEV,Honda,Accord PHEV,7
2015,Alameda,PHEV,Porsche,Cayenne,10
2015,Alameda,PHEV,Porsche,Panamera,3
2015,Alameda,PHEV,Toyota,Prius PHEV,429
2015,Alameda,PHEV,Volvo,XC90,1
2015,Amador,BEV,FIAT,500e,2
2015,Amador,BEV,Nissan,Leaf,1
2015,Amador,BEV,Tesla,Model S,4
2015,Amador,BEV,Toyota,RAV4 EV,1
2015,Amador,PHEV,Chevrolet,Volt,6
2015,Amador,PHEV,Ford,Fusion Energi,1
2015,Butte,BEV,BMW,i3,1
2015,Butte,BEV,Chevrolet,Spark EV,1
2015,Butte,BEV,FIAT,500e,5
2015,Butte,BEV,Ford,Focus,1
2015,Butte,BEV,Nissan,Leaf,4
2015,Butte,BEV,Smart,Fortwo BEV Drive,1
2015,Butte,BEV,Tesla,Model S,9
2015,Butte,BEV,Volkswagen,e-Golf,3
2015,Butte,PHEV,BMW,i3 REx,1
2015,Butte,PHEV,Chevrolet,Volt,6
2015,Butte,PHEV,Ford,C-MAX Energi,8
2015,Butte,PHEV,Ford,Fusion Energi,4
2015,Butte,PHEV,Toyota,Prius PHEV,6
2015,Calaveras,BEV,FIAT,500e,1
2015,Calaveras,BEV,Ford,Focus,1
2015,Calaveras,BEV,Nissan,Leaf,2
2015,Calaveras,BEV,Smart,Fortwo BEV Drive,1
2015,Calaveras,BEV,Tesla,Model S,3
2015,Calaveras,PHEV,Chevrolet,Volt,3
2015,Calaveras,PHEV,Ford,Fusion Energi,4
2015,Calaveras,PHEV,Toyota,Prius PHEV,1
2015,Colusa,BEV,Tesla,Model S,1
2015,Colusa,BEV,Volkswagen,e-Golf,1
2015,Colusa,PHEV,Ford,C-MAX Energi,1
2015,Contra Costa,BEV,BMW,i3,39
2015,Contra Costa,BEV,Chevrolet,Spark EV,62
2015,Contra Costa,BEV,FIAT,500e,302
2015,Contra Costa,BEV,Ford,Focus,95
2015,Contra Costa,BEV,Kia,Soul EV,38
2015,Contra Costa,BEV,Mercedes-Benz,B-Class,49
2015,Contra Costa,BEV,Mitsubishi,i-MiEV,3
2015,Contra Costa,BEV,Nissan,Leaf,316
2015,Contra Costa,BEV,Smart,Fortwo BEV Drive,18
2015,Contra Costa,BEV,Tesla,Model S,538
2015,Contra Costa,BEV,Toyota,RAV4 EV,3
2015,Contra Costa,BEV,Volkswagen,e-Golf,132
2015,Contra Costa,PHEV,BMW,i3 REx,128
2015,Contra Costa,PHEV,BMW,i8,7
2015,Contra Costa,PHEV,BMW,X5,3
2015,Contra Costa,PHEV,Cadillac,ELR,5
2015,Contra Costa,PHEV,Chevrolet,Volt,285
2015,Contra Costa,PHEV,Ford,C-MAX Energi,153
2015,Contra Costa,PHEV,Ford,Fusion Energi,230
2015,Contra Costa,PHEV,Honda,Accord PHEV,5
2015,Contra Costa,PHEV,Hyundai,Sonata PHEV,4
2015,Contra Costa,PHEV,Porsche,918 Spyder,1
2015,Contra Costa,PHEV,Porsche,Cayenne,7
2015,Contra Costa,PHEV,Porsche,Panamera,3
2015,Contra Costa,PHEV,Toyota,Prius PHEV,183
2015,Del Norte,BEV,Chevrolet,Spark EV,1
2015,Del Norte,BEV,Tesla,Model S,1
2015,Del Norte,PHEV,BMW,X5,1
2015,Del Norte,PHEV,Chevrolet,Volt,3
2015,El Dorado,BEV,BMW,i3,2
2015,El Dorado,BEV,Chevrolet,Spark EV,9
2015,El Dorado,BEV,FIAT,500e,28
2015,El Dorado,BEV,Ford,Focus,5
2015,El Dorado,BEV,Kia,Soul EV,1
2015,El Dorado,BEV,Mercedes-Benz,B-Class,4
2015,El Dorado,BEV,Nissan,Leaf,19
2015,El Dorado,BEV,Smart,Fortwo BEV Drive,2
2015,El Dorado,BEV,Tesla,Model S,32
2015,El Dorado,BEV,Toyota,RAV4 EV,2
2015,El Dorado,BEV,Volkswagen,e-Golf,9
2015,El Dorado,PHEV,BMW,i3 REx,10
2015,El Dorado,PHEV,Cadillac,ELR,5
2015,El Dorado,PHEV,Chevrolet,Volt,27
2015,El Dorado,PHEV,Ford,C-MAX Energi,19
2015,El Dorado,PHEV,Ford,Fusion Energi,27
2015,El Dorado,PHEV,Porsche,Cayenne,1
2015,El Dorado,PHEV,Toyota,Prius PHEV,10
2015,El Dorado,FCEV,Toyota,Mirai,2
2015,Fresno,BEV,BMW,i3,7
2015,Fresno,BEV,Chevrolet,Spark EV,49
2015,Fresno,BEV,FIAT,500e,232
2015,Fresno,BEV,Ford,Focus,27
2015,Fresno,BEV,Kia,Soul EV,4
2015,Fresno,BEV,Mercedes-Benz,B-Class,14
2015,Fresno,BEV,Mitsubishi,i-MiEV,2
2015,Fresno,BEV,Nissan,Leaf,59
2015,Fresno,BEV,Smart,Fortwo BEV Drive,2
2015,Fresno,BEV,Tesla,Model S,44
2015,Fresno,BEV,Volkswagen,e-Golf,2
2015,Fresno,PHEV,BMW,i3 REx,13
2015,Fresno,PHEV,BMW,i8,4
2015,Fresno,PHEV,Chevrolet,Volt,40
2015,Fresno,PHEV,Ford,C-MAX Energi,12
2015,Fresno,PHEV,Ford,Fusion Energi,20
2015,Fresno,PHEV,Hyundai,Sonata PHEV,1
2015,Fresno,PHEV,Porsche,Cayenne,1
2015,Fresno,PHEV,Toyota,Prius PHEV,8
2015,Glenn,BEV,Volkswagen,e-Golf,2
