County,Incentive Type,EV Type,Max Amount,Requirements,Low Income,Customer,One-time Use,Program Name or Provider,Start Date,End Date
Alameda,Rebate,BEV,2000,Yes,No,Yes,Yes,Alameda Municipal Power,7/1/2021,1/1/3000
Alameda,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Alameda,Grant,Any,5000,Yes,Yes,No,Yes,Clean Vehicle Assistance Program,6/1/2018,1/1/3000
Alameda,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
Alameda,Rebate,EV charger,800,Yes,No,Yes,Yes,Alameda Municipal Power,7/1/2018,1/1/3000
Alameda,Rebate,BEV,1000,Yes,Yes,Yes,Yes,Alameda Municipal Power,7/1/2021,1/1/3000
All,Reward,BEV,750,Yes,No,No,No,California Clean Fuel Reward,11/17/2020,1/1/3000
All,Rebate,FCEV,4500,Yes,No,No,No,CVRP,1/1/2009,1/1/3000
All,Rebate,BEV,2000,Yes,No,No,Yes,CVRP,1/1/2009,1/1/3000
All,Rebate,PHEV,1000,Yes,No,No,Yes,CVRP,1/1/2009,1/1/3000
All,Rebate,Any,2500,Yes,Yes,No,No,CVRP,1/1/2009,1/1/3000
All,Tax Credit,Any,7500,Yes,No,No,Yes,IRS,1/1/2010,12/31/2021
All,HOV,Any,,Yes,No,No,No,DMV,1/1/2020,1/1/3000
All,Tax Credit,FCEV,8000,Yes,No,No,Yes,IRS,1/1/2010,12/31/2021
All,Reward,PHEV,750,Yes,No,No,No,California Clean Fuel Reward,11/17/2020,1/1/3000
Contra Costa,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Contra Costa,Grant,Any,5000,Yes,Yes,No,Yes,CHDC Vehicle Financing,1/1/2015,1/1/3000
Contra Costa,Toll discount,CAV,7,Yes,No,No,No,California Air Resources Board,1/1/2019,1/1/3000
El Dorado,Rebate,Any,599,Yes,No,Yes,No,El Dorado Air Quality Management District,,1/1/3000
Fresno,Rebate,BEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Fresno,Rebate,FCEV,3000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Fresno,Rebate,PHEV,2500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Fresno,Rebate,PZEV,2000,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Fresno,Rebate,SULEV,1500,Yes,No,Yes,Yes,San Joaquin Valley Air Pollution Control District,,1/1/3000
Fresno,Grant,Any,9500,Yes,Yes,Yes,Yes,Bay Area Air Quality Management District,3/1/2019,1/1/3000
Imperial,Rebate,EV charger,500,Yes,No,Yes,Yes,Imperial Irrigation District,,1/1/3000
Inyo,Rebate,Any,1000,Yes,No,Yes,Yes,Southern California Edison Pre-Owned EV Rebate,,1/1/3000
