County,Year,Population,Percent Change,Numeric Change,CA Total
Alameda,2015,"1,630,159",1.34,"21,545","38,913,507"
Alameda,2016,"1,647,332",1.05,"17,173","39,127,855"
Alameda,2017,"1,659,750",0.75,"12,418","39,328,926"
Alameda,2018,"1,669,659",0.6,"9,909","39,476,064"
Alameda,2019,"1,678,926",0.56,"9,267","39,529,566"
Alameda,2020,"1,681,700",0.17,"2,774","39,541,786"
Alameda,2021,"1,671,741",-0.59,"-9,959","39,368,613"
Alameda ,2022,"1,682,353",0.01,"10,612","39,538,223"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Alpine,2015,"1,201",0.17,2,"38,913,507"
Alpine,2016,"1,207",0.5,6,"39,127,855"
Alpine,2017,"1,211",0.33,4,"39,328,926"
Alpine,2018,"1,208",-0.25,-3,"39,476,064"
Alpine,2019,"1,205",-0.25,-3,"39,529,566"
Alpine,2020,"1,199",-0.5,-6,"39,541,786"
Alpine,2021,"1,181",-1.5,-18,"39,368,613"
Alpine ,2022,"1,204",0.02,23,"39,538,223"
Amador,2015,"36,905",-0.07,-25,"38,913,507"
Amador,2016,"37,929",2.77,"1,024","39,127,855"
Amador,2017,"38,549",1.63,620,"39,328,926"
Amador,2018,"40,038",3.86,"1,489","39,476,064"
Amador,2019,"40,279",0.6,241,"39,529,566"
Amador,2020,"40,506",0.56,227,"39,541,786"
Amador,2021,"40,316",-0.47,-190,"39,368,613"
Amador ,2022,"40,474",0,158,"39,538,223"
Butte,2015,"229,359",0.67,"1,529","38,913,507"
Butte,2016,"230,681",0.58,"1,322","39,127,855"
Butte,2017,"233,080",1.04,"2,399","39,328,926"
Butte,2018,"234,627",0.66,"1,547","39,476,064"
Butte,2019,"226,714",-3.37,"-7,913","39,529,566"
Butte,2020,"211,216",-6.84,"-15,498","39,541,786"
Butte,2021,"201,158",-4.76,"-10,058","39,368,613"
Butte ,2022,"211,632",0.05,"10,474","39,538,223"
Calaveras,2015,"45,414",-0.02,-9,"38,913,507"
Calaveras,2016,"45,365",-0.11,-49,"39,127,855"
Calaveras,2017,"45,354",-0.02,-11,"39,328,926"
Calaveras,2018,"45,365",0.02,11,"39,476,064"
Calaveras,2019,"45,285",-0.18,-80,"39,529,566"
Calaveras,2020,"45,277",-0.02,-8,"39,541,786"
Calaveras,2021,"45,111",-0.37,-166,"39,368,613"
Calaveras ,2022,"45,292",0,181,"39,538,223"
Colusa,2015,"21,455",0.19,41,"38,913,507"
Colusa,2016,"21,677",1.03,222,"39,127,855"
Colusa,2017,"21,792",0.53,115,"39,328,926"
Colusa,2018,"21,690",-0.47,-102,"39,476,064"
Colusa,2019,"21,745",0.25,55,"39,529,566"
Colusa,2020,"21,826",0.37,81,"39,541,786"
Colusa,2021,"22,059",1.07,233,"39,368,613"
Colusa ,2022,"21,839",-0.01,-220,"39,538,223"
Contra Costa,2015,"1,128,317",1.4,"15,584","38,913,507"
Contra Costa,2016,"1,141,566",1.17,"13,249","39,127,855"
Contra Costa,2017,"1,149,457",0.69,"7,891","39,328,926"
Contra Costa,2018,"1,158,017",0.74,"8,560","39,476,064"
Contra Costa,2019,"1,162,287",0.37,"4,270","39,529,566"
Contra Costa,2020,"1,166,669",0.38,"4,382","39,541,786"
Contra Costa,2021,"1,163,765",-0.25,"-2,904","39,368,613"
Contra Costa ,2022,"1,165,927",0,"2,162","39,538,223"
Del Norte,2015,"27,113",-0.54,-147,"38,913,507"
Del Norte,2016,"27,070",-0.16,-43,"39,127,855"
Del Norte,2017,"26,898",-0.64,-172,"39,328,926"
Del Norte,2018,"27,572",2.51,674,"39,476,064"
Del Norte,2019,"27,604",0.12,32,"39,529,566"
Del Norte,2020,"27,745",0.51,141,"39,541,786"
Del Norte,2021,"27,529",-0.78,-216,"39,368,613"
Del Norte ,2022,"27,743",0.01,214,"39,538,223"
El Dorado,2015,"182,205",0.17,307,"38,913,507"
El Dorado,2016,"182,937",0.4,732,"39,127,855"
El Dorado,2017,"184,800",1.02,"1,863","39,328,926"
El Dorado,2018,"187,122",1.26,"2,322","39,476,064"
El Dorado,2019,"187,905",0.42,783,"39,529,566"
