Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Alameda,BEV,BMW,i3,109,90015,BEV
2015,Alameda,BEV,Chevrolet,Spark EV,181,90016,BEV
2015,Alameda,BEV,FIAT,500e,924,90018,BEV
2015,Alameda,BEV,Ford,Focus,92,90019,BEV
2015,Alameda,BEV,Kia,Soul EV,59,90020,BEV
2015,Alameda,BEV,Mercedes-Benz,B-Class,164,90021,BEV
2015,Alameda,BEV,Mitsubishi,i-MiEV,3,90024,BEV
2015,Alameda,BEV,Nissan,Leaf,1170,90025,BEV
2015,Alameda,BEV,Smart,Fortwo BEV Drive,31,90026,BEV
2015,Alameda,BEV,Tesla,Model S,643,90027,BEV
2015,Alameda,BEV,Tesla,Model X,4,90028,BEV
2015,Alameda,BEV,Toyota,RAV4 EV,5,90029,BEV
2015,Alameda,BEV,Volkswagen,e-Golf,385,90032,BEV
2015,Alameda,PHEV,BMW,i3 REx,281,90033,BEV
2015,Alameda,PHEV,BMW,i8,13,90034,BEV
2015,Alameda,PHEV,BMW,X5,8,90035,BEV
2015,Alameda,PHEV,Cadillac,ELR,10,90038,BEV
2015,Alameda,PHEV,Chevrolet,Volt,593,90039,BEV
2015,Alameda,PHEV,Ford,C-MAX Energi,167,90041,BEV
2015,Alameda,PHEV,Ford,Fusion Energi,244,90042,BEV
2015,Alameda,PHEV,Honda,Accord PHEV,7,90043,BEV
2015,Alameda,PHEV,Porsche,Cayenne,10,90045,BEV
2015,Alameda,PHEV,Porsche,Panamera,3,90046,BEV
2015,Alameda,PHEV,Toyota,Prius PHEV,429,90047,BEV
2015,Alameda,PHEV,Volvo,XC90,1,90048,BEV
2015,Amador,BEV,FIAT,500e,2,90049,BEV
2015,Amador,BEV,Nissan,Leaf,1,90055,BEV
2015,Amador,BEV,Tesla,Model S,4,90064,BEV
2015,Amador,BEV,Toyota,RAV4 EV,1,90065,BEV
2015,Amador,PHEV,Chevrolet,Volt,6,90066,BEV
2015,Amador,PHEV,Ford,Fusion Energi,1,90067,BEV
2015,Butte,BEV,BMW,i3,1,90068,BEV
2015,Butte,BEV,Chevrolet,Spark EV,1,90069,BEV
2015,Butte,BEV,FIAT,500e,5,90071,BEV
2015,Butte,BEV,Ford,Focus,1,90077,BEV
2015,Butte,BEV,Nissan,Leaf,4,90089,BEV
2015,Butte,BEV,Smart,Fortwo BEV Drive,1,90094,BEV
2015,Butte,BEV,Tesla,Model S,9,90095,BEV
2015,Butte,BEV,Volkswagen,e-Golf,3,90210,BEV
2015,Butte,PHEV,BMW,i3 REx,1,90211,BEV
2015,Butte,PHEV,Chevrolet,Volt,6,90212,BEV
2015,Butte,PHEV,Ford,C-MAX Energi,8,90220,BEV
2015,Butte,PHEV,Ford,Fusion Energi,4,90230,BEV
2015,Butte,PHEV,Toyota,Prius PHEV,6,90232,BEV
2015,Calaveras,BEV,FIAT,500e,1,90241,BEV
2015,Calaveras,BEV,Ford,Focus,1,90245,BEV
2015,Calaveras,BEV,Nissan,Leaf,2,90247,BEV
2015,Calaveras,BEV,Smart,Fortwo BEV Drive,1,90248,BEV
2015,Calaveras,BEV,Tesla,Model S,3,90250,BEV
2015,Calaveras,PHEV,Chevrolet,Volt,3,90254,BEV
2015,Calaveras,PHEV,Ford,Fusion Energi,4,90265,BEV
2015,Calaveras,PHEV,Toyota,Prius PHEV,1,90266,BEV
2015,Colusa,BEV,Tesla,Model S,1,90272,BEV
2015,Colusa,BEV,Volkswagen,e-Golf,1,90274,BEV
2015,Colusa,PHEV,Ford,C-MAX Energi,1,90275,BEV
2015,Contra Costa,BEV,BMW,i3,39,90277,BEV
2015,Contra Costa,BEV,Chevrolet,Spark EV,62,90278,BEV
2015,Contra Costa,BEV,FIAT,500e,302,90280,BEV
2015,Contra Costa,BEV,Ford,Focus,95,90290,BEV
2015,Contra Costa,BEV,Kia,Soul EV,38,90291,BEV
2015,Contra Costa,BEV,Mercedes-Benz,B-Class,49,90292,BEV
2015,Contra Costa,BEV,Mitsubishi,i-MiEV,3,90293,BEV
2015,Contra Costa,BEV,Nissan,Leaf,316,90302,BEV
2015,Contra Costa,BEV,Smart,Fortwo BEV Drive,18,90401,BEV
2015,Contra Costa,BEV,Tesla,Model S,538,90402,BEV
2015,Contra Costa,BEV,Toyota,RAV4 EV,3,90403,BEV
2015,Contra Costa,BEV,Volkswagen,e-Golf,132,90404,BEV
2015,Contra Costa,PHEV,BMW,i3 REx,128,90405,BEV
2015,Contra Costa,PHEV,BMW,i8,7,90409,BEV
2015,Contra Costa,PHEV,BMW,X5,3,90501,BEV
2015,Contra Costa,PHEV,Cadillac,ELR,5,90502,BEV
2015,Contra Costa,PHEV,Chevrolet,Volt,285,90503,BEV
2015,Contra Costa,PHEV,Ford,C-MAX Energi,153,90504,BEV
2015,Contra Costa,PHEV,Ford,Fusion Energi,230,90505,BEV
2015,Contra Costa,PHEV,Honda,Accord PHEV,5,90601,BEV
2015,Contra Costa,PHEV,Hyundai,Sonata PHEV,4,90603,BEV
2015,Contra Costa,PHEV,Porsche,918 Spyder,1,90605,BEV
2015,Contra Costa,PHEV,Porsche,Cayenne,7,90620,BEV
2015,Contra Costa,PHEV,Porsche,Panamera,3,90621,BEV
2015,Contra Costa,PHEV,Toyota,Prius PHEV,183,90630,BEV
2015,Del Norte,BEV,Chevrolet,Spark EV,1,90631,BEV
2015,Del Norte,BEV,Tesla,Model S,1,90638,BEV
2015,Del Norte,PHEV,BMW,X5,1,90640,BEV
2015,Del Norte,PHEV,Chevrolet,Volt,3,90650,BEV
2015,El Dorado,BEV,BMW,i3,2,90670,BEV
2015,El Dorado,BEV,Chevrolet,Spark EV,9,90680,BEV
2015,El Dorado,BEV,FIAT,500e,28,90701,BEV
2015,El Dorado,BEV,Ford,Focus,5,90703,BEV
2015,El Dorado,BEV,Kia,Soul EV,1,90706,BEV
2015,El Dorado,BEV,Mercedes-Benz,B-Class,4,90710,BEV
2015,El Dorado,BEV,Nissan,Leaf,19,90712,BEV
2015,El Dorado,BEV,Smart,Fortwo BEV Drive,2,90715,BEV
2015,El Dorado,BEV,Tesla,Model S,32,90717,BEV
2015,El Dorado,BEV,Toyota,RAV4 EV,2,90720,BEV
2015,El Dorado,BEV,Volkswagen,e-Golf,9,90731,BEV
2015,El Dorado,PHEV,BMW,i3 REx,10,90732,BEV
2015,El Dorado,PHEV,Cadillac,ELR,5,90740,BEV
2015,El Dorado,PHEV,Chevrolet,Volt,27,90744,BEV
2015,El Dorado,PHEV,Ford,C-MAX Energi,19,90745,BEV
2015,El Dorado,PHEV,Ford,Fusion Energi,27,90746,BEV
2015,El Dorado,PHEV,Porsche,Cayenne,1,90755,BEV
