county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max
Alameda,2015,5536,8.65,1630159,4.19,0,6,6,0,25500,25500
Alameda,2016,5327,7.35,1647332,4.21,0,6,6,0,25500,25500
Alameda,2017,7056,7.61,1659750,4.22,0,6,6,0,25500,25500
Alameda,2018,12578,8.12,1669659,4.23,2,6,8,5800,25500,31300
Alameda,2019,11781,8.05,1678926,4.25,4,6,10,15307,25500,40807
Alameda,2020,9978,6.94,1681700,4.25,4,9,13,15307,27000,42307
Alameda,2021,15264,6.17,1671741,4.25,6,9,15,15307,27000,42307
Alameda,2022,9292,5.85,1682353,4.26,6,7,13,15307,11500,26807
Alpine,2017,1,0.0,1211,0.0,0,6,6,0,25500,25500
Alpine,2018,1,0.0,1208,0.0,0,6,6,0,25500,25500
Alpine,2019,3,0.0,1205,0.0,0,6,6,0,25500,25500
Alpine,2020,2,0.0,1199,0.0,0,9,9,0,27000,27000
Alpine,2021,11,0.0,1181,0.0,0,9,9,0,27000,27000
Alpine,2022,3,0.0,1204,0.0,0,7,7,0,11500,11500
Amador,2015,15,0.02,36905,0.09,0,6,6,0,25500,25500
Amador,2016,14,0.02,37929,0.1,0,6,6,0,25500,25500
Amador,2017,21,0.02,38549,0.1,0,6,6,0,25500,25500
Amador,2018,35,0.02,40038,0.1,0,6,6,0,25500,25500
Amador,2019,31,0.02,40279,0.1,0,6,6,0,25500,25500
Amador,2020,35,0.02,40506,0.1,0,9,9,0,27000,27000
Amador,2021,65,0.03,40316,0.1,0,9,9,0,27000,27000
Amador,2022,45,0.03,40474,0.1,0,7,7,0,11500,11500
Butte,2015,50,0.08,229359,0.59,0,6,6,0,25500,25500
Butte,2016,50,0.07,230681,0.59,0,6,6,0,25500,25500
Butte,2017,88,0.09,233080,0.59,0,6,6,0,25500,25500
Butte,2018,183,0.12,234627,0.59,0,6,6,0,25500,25500
Butte,2019,170,0.12,226714,0.57,0,6,6,0,25500,25500
Butte,2020,209,0.15,211216,0.53,0,9,9,0,27000,27000
Butte,2021,348,0.14,201158,0.51,0,9,9,0,27000,27000
Butte,2022,207,0.13,211632,0.54,0,7,7,0,11500,11500
Calaveras,2015,16,0.03,45414,0.12,0,6,6,0,25500,25500
Calaveras,2016,19,0.03,45365,0.12,0,6,6,0,25500,25500
Calaveras,2017,24,0.03,45354,0.12,0,6,6,0,25500,25500
Calaveras,2018,50,0.03,45365,0.11,0,6,6,0,25500,25500
Calaveras,2019,45,0.03,45285,0.11,0,6,6,0,25500,25500
Calaveras,2020,54,0.04,45277,0.11,0,9,9,0,27000,27000
Calaveras,2021,92,0.04,45111,0.11,0,9,9,0,27000,27000
Calaveras,2022,82,0.05,45292,0.11,0,7,7,0,11500,11500
Colusa,2015,3,0.0,21455,0.06,0,6,6,0,25500,25500
Colusa,2016,2,0.0,21677,0.06,0,6,6,0,25500,25500
Colusa,2017,3,0.0,21792,0.06,0,6,6,0,25500,25500
Colusa,2018,8,0.01,21690,0.05,0,6,6,0,25500,25500
Colusa,2019,3,0.0,21745,0.06,0,6,6,0,25500,25500
Colusa,2020,5,0.0,21826,0.06,0,9,9,0,27000,27000
Colusa,2021,18,0.01,22059,0.06,0,9,9,0,27000,27000
Colusa,2022,14,0.01,21839,0.06,0,7,7,0,11500,11500
Contra Costa,2015,2609,4.08,1128317,2.9,1,6,7,5000,25500,30500
Contra Costa,2016,2599,3.59,1141566,2.92,1,6,7,5000,25500,30500
Contra Costa,2017,3475,3.75,1149457,2.92,1,6,7,5000,25500,30500
Contra Costa,2018,6420,4.15,1158017,2.93,1,6,7,5000,25500,30500
Contra Costa,2019,5720,3.91,1162287,2.94,3,6,9,14507,25500,40007
Contra Costa,2020,5672,3.94,1166669,2.95,3,9,12,14507,27000,41507
Contra Costa,2021,9583,3.87,1163765,2.96,3,9,12,14507,27000,41507
Contra Costa,2022,5596,3.52,1165927,2.95,3,7,10,14507,11500,26007
Del Norte,2015,6,0.01,27113,0.07,0,6,6,0,25500,25500
Del Norte,2016,2,0.0,27070,0.07,0,6,6,0,25500,25500
Del Norte,2017,9,0.01,26898,0.07,0,6,6,0,25500,25500
Del Norte,2018,13,0.01,27572,0.07,0,6,6,0,25500,25500
Del Norte,2019,16,0.01,27604,0.07,0,6,6,0,25500,25500
Del Norte,2020,11,0.01,27745,0.07,0,9,9,0,27000,27000
Del Norte,2021,13,0.01,27529,0.07,0,9,9,0,27000,27000
Del Norte,2022,8,0.01,27743,0.07,0,7,7,0,11500,11500
El Dorado,2015,214,0.33,182205,0.47,0,6,6,0,25500,25500
El Dorado,2016,198,0.27,182937,0.47,0,6,6,0,25500,25500
El Dorado,2017,316,0.34,184800,0.47,0,6,6,0,25500,25500
El Dorado,2018,584,0.38,187122,0.47,0,6,6,0,25500,25500
El Dorado,2019,547,0.37,187905,0.48,0,6,6,0,25500,25500
El Dorado,2020,598,0.42,191282,0.48,1,9,10,599,27000,27599
El Dorado,2021,937,0.38,191992,0.49,1,9,10,599,27000,27599
El Dorado,2022,631,0.4,191185,0.48,1,7,8,599,11500,12099
Fresno,2015,541,0.85,970859,2.49,0,6,6,0,25500,25500
Fresno,2016,788,1.09,977361,2.5,0,6,6,0,25500,25500
