county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
Alameda,2015,5536,8.65,1630159,4.19,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Alameda,2016,5327,7.35,1647332,4.21,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Alameda,2017,7056,7.61,1659750,4.22,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Alpine,2017,1,0.0,1211,0.0,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Amador,2015,15,0.02,36905,0.09,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Amador,2016,14,0.02,37929,0.1,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Amador,2017,21,0.02,38549,0.1,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Butte,2015,50,0.08,229359,0.59,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Butte,2016,50,0.07,230681,0.59,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Butte,2017,88,0.09,233080,0.59,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Calaveras,2015,16,0.03,45414,0.12,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Calaveras,2016,19,0.03,45365,0.12,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Calaveras,2017,24,0.03,45354,0.12,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Colusa,2015,3,0.0,21455,0.06,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Colusa,2016,2,0.0,21677,0.06,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Colusa,2017,3,0.0,21792,0.06,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Contra Costa,2015,2609,4.08,1128317,2.9,1,6,7,5000,25500,30500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Contra Costa,2016,2599,3.59,1141566,2.92,1,6,7,5000,25500,30500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Contra Costa,2017,3475,3.75,1149457,2.92,1,6,7,5000,25500,30500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Del Norte,2015,6,0.01,27113,0.07,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Del Norte,2016,2,0.0,27070,0.07,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Del Norte,2017,9,0.01,26898,0.07,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
El Dorado,2015,214,0.33,182205,0.47,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
El Dorado,2016,198,0.27,182937,0.47,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
El Dorado,2017,316,0.34,184800,0.47,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
