county,year,population,percent_change,number_change,pop_percentage
Alameda,2015,1630159,1.34,21545,4.19
Alameda,2016,1647332,1.05,17173,4.21
Alameda,2017,1659750,0.75,12418,4.22
Alameda,2018,1669659,0.6,9909,4.23
Alameda,2019,1678926,0.56,9267,4.25
Alameda,2020,1681700,0.17,2774,4.25
Alameda,2021,1671741,-0.59,-9959,4.25
Alameda,2022,1682353,0.01,10612,4.26
Alpine,2015,1201,0.17,2,0.0
Alpine,2016,1207,0.5,6,0.0
Alpine,2017,1211,0.33,4,0.0
Alpine,2018,1208,-0.25,-3,0.0
Alpine,2019,1205,-0.25,-3,0.0
Alpine,2020,1199,-0.5,-6,0.0
Alpine,2021,1181,-1.5,-18,0.0
Alpine,2022,1204,0.02,23,0.0
Amador,2015,36905,-0.07,-25,0.09
Amador,2016,37929,2.77,1024,0.1
Amador,2017,38549,1.63,620,0.1
Amador,2018,40038,3.86,1489,0.1
Amador,2019,40279,0.6,241,0.1
Amador,2020,40506,0.56,227,0.1
Amador,2021,40316,-0.47,-190,0.1
Amador,2022,40474,0.0,158,0.1
Butte,2015,229359,0.67,1529,0.59
Butte,2016,230681,0.58,1322,0.59
Butte,2017,233080,1.04,2399,0.59
Butte,2018,234627,0.66,1547,0.59
Butte,2019,226714,-3.37,-7913,0.57
Butte,2020,211216,-6.84,-15498,0.53
Butte,2021,201158,-4.76,-10058,0.51
Butte,2022,211632,0.05,10474,0.54
Calaveras,2015,45414,-0.02,-9,0.12
Calaveras,2016,45365,-0.11,-49,0.12
Calaveras,2017,45354,-0.02,-11,0.12
Calaveras,2018,45365,0.02,11,0.11
Calaveras,2019,45285,-0.18,-80,0.11
Calaveras,2020,45277,-0.02,-8,0.11
Calaveras,2021,45111,-0.37,-166,0.11
Calaveras,2022,45292,0.0,181,0.11
Colusa,2015,21455,0.19,41,0.06
Colusa,2016,21677,1.03,222,0.06
Colusa,2017,21792,0.53,115,0.06
Colusa,2018,21690,-0.47,-102,0.05
Colusa,2019,21745,0.25,55,0.06
Colusa,2020,21826,0.37,81,0.06
Colusa,2021,22059,1.07,233,0.06
Colusa,2022,21839,-0.01,-220,0.06
Contra Costa,2015,1128317,1.4,15584,2.9
Contra Costa,2016,1141566,1.17,13249,2.92
Contra Costa,2017,1149457,0.69,7891,2.92
Contra Costa,2018,1158017,0.74,8560,2.93
Contra Costa,2019,1162287,0.37,4270,2.94
Contra Costa,2020,1166669,0.38,4382,2.95
Contra Costa,2021,1163765,-0.25,-2904,2.96
Contra Costa,2022,1165927,0.0,2162,2.95
Del Norte,2015,27113,-0.54,-147,0.07
Del Norte,2016,27070,-0.16,-43,0.07
Del Norte,2017,26898,-0.64,-172,0.07
Del Norte,2018,27572,2.51,674,0.07
Del Norte,2019,27604,0.12,32,0.07
Del Norte,2020,27745,0.51,141,0.07
Del Norte,2021,27529,-0.78,-216,0.07
Del Norte,2022,27743,0.01,214,0.07
El Dorado,2015,182205,0.17,307,0.47
El Dorado,2016,182937,0.4,732,0.47
El Dorado,2017,184800,1.02,1863,0.47
El Dorado,2018,187122,1.26,2322,0.47
El Dorado,2019,187905,0.42,783,0.48
El Dorado,2020,191282,1.8,3377,0.48
El Dorado,2021,191992,0.37,710,0.49
El Dorado,2022,191185,0.0,-807,0.48
Fresno,2015,970859,0.82,7849,2.49
Fresno,2016,977361,0.67,6502,2.5
Fresno,2017,985393,0.82,8032,2.51
Fresno,2018,993965,0.87,8572,2.52
Fresno,2019,1001640,0.77,7675,2.53
Fresno,2020,1008860,0.72,7220,2.55
Fresno,2021,1013744,0.48,4884,2.58
Fresno,2022,1008654,-0.01,-5090,2.55
Glenn,2015,28001,-0.26,-74,0.07
Glenn,2016,28005,0.01,4,0.07
Glenn,2017,28072,0.24,67,0.07
Glenn,2018,28134,0.22,62,0.07
Glenn,2019,28525,1.39,391,0.07
Glenn,2020,28822,1.04,297,0.07
Glenn,2021,29007,0.64,185,0.07
Glenn,2022,28917,0.0,-90,0.07
Humboldt,2015,136348,0.47,638,0.35
Humboldt,2016,137346,0.73,998,0.35
Humboldt,2017,137492,0.11,146,0.35
Humboldt,2018,137493,0.0,1,0.35
Humboldt,2019,136740,-0.55,-753,0.35
Humboldt,2020,136514,-0.17,-226,0.35
Humboldt,2021,135467,-0.77,-1047,0.34
Humboldt,2022,136463,0.01,996,0.35
Imperial,2015,179952,0.55,985,0.46
Imperial,2016,180280,0.18,328,0.46
Imperial,2017,180627,0.19,347,0.46
Imperial,2018,180627,0.0,0,0.46
Imperial,2019,180809,0.1,182,0.46
Imperial,2020,178537,-1.26,-2272,0.45
Imperial,2021,177052,-0.83,-1485,0.45
Imperial,2022,179702,0.01,2650,0.45
Inyo,2015,18911,0.2,38,0.05
Inyo,2016,18956,0.24,45,0.05
Inyo,2017,18945,-0.06,-11,0.05
Inyo,2018,18953,0.04,8,0.05
Inyo,2019,18947,-0.03,-6,0.05
Inyo,2020,18977,0.16,30,0.05
Inyo,2021,18931,-0.24,-46,0.05
