county,year,number_sales,sales_percentage,population,pop_percentage
Alameda,2018,12578,8.12,1669659,4.23
Alameda,2021,15264,6.17,1671741,4.25
Alameda,2020,9978,6.94,1681700,4.25
Alameda,2016,5327,7.35,1647332,4.21
Alameda,2019,11781,8.05,1678926,4.25
Alameda,2017,7056,7.61,1659750,4.22
Alameda,2015,5536,8.65,1630159,4.19
Alpine,2018,1,0,1208,0
Alpine,2017,1,0,1211,0
Alpine,2020,2,0,1199,0
Alpine,2021,11,0,1181,0
Alpine,2019,3,0,1205,0
Amador,2020,35,0.02,40506,0.1
Amador,2018,35,0.02,40038,0.1
Amador,2015,15,0.02,36905,0.09
Amador,2017,21,0.02,38549,0.1
Amador,2019,31,0.02,40279,0.1
Amador,2016,14,0.02,37929,0.1
Amador,2021,65,0.03,40316,0.1
Butte,2020,209,0.15,211216,0.53
Butte,2016,50,0.07,230681,0.59
Butte,2015,50,0.08,229359,0.59
Butte,2021,348,0.14,201158,0.51
Butte,2019,170,0.12,226714,0.57
Butte,2018,183,0.12,234627,0.59
Butte,2017,88,0.09,233080,0.59
Calaveras,2021,92,0.04,45111,0.11
Calaveras,2019,45,0.03,45285,0.11
Calaveras,2020,54,0.04,45277,0.11
Calaveras,2018,50,0.03,45365,0.11
Calaveras,2016,19,0.03,45365,0.12
Calaveras,2017,24,0.03,45354,0.12
Calaveras,2015,16,0.03,45414,0.12
Colusa,2019,3,0,21745,0.06
Colusa,2016,2,0,21677,0.06
Colusa,2017,3,0,21792,0.06
Colusa,2015,3,0,21455,0.06
Colusa,2021,18,0.01,22059,0.06
Colusa,2020,5,0,21826,0.06
Colusa,2018,8,0.01,21690,0.05
Contra Costa,2016,2599,3.59,1141566,2.92
Contra Costa,2015,2609,4.08,1128317,2.9
Contra Costa,2017,3475,3.75,1149457,2.92
Contra Costa,2020,5672,3.94,1166669,2.95
Contra Costa,2018,6420,4.15,1158017,2.93
Contra Costa,2019,5720,3.91,1162287,2.94
Contra Costa,2021,9583,3.87,1163765,2.96
Del Norte,2017,9,0.01,26898,0.07
Del Norte,2018,13,0.01,27572,0.07
Del Norte,2021,13,0.01,27529,0.07
Del Norte,2015,6,0.01,27113,0.07
Del Norte,2019,16,0.01,27604,0.07
Del Norte,2020,11,0.01,27745,0.07
Del Norte,2016,2,0,27070,0.07
El Dorado,2020,598,0.42,191282,0.48
El Dorado,2021,937,0.38,191992,0.49
El Dorado,2019,547,0.37,187905,0.48
El Dorado,2015,214,0.33,182205,0.47
El Dorado,2018,584,0.38,187122,0.47
El Dorado,2016,198,0.27,182937,0.47
El Dorado,2017,316,0.34,184800,0.47
Fresno,2020,1172,0.82,1008860,2.55
Fresno,2015,541,0.85,970859,2.49
Fresno,2021,2364,0.96,1013744,2.58
Fresno,2016,788,1.09,977361,2.5
Fresno,2018,1107,0.71,993965,2.52
Fresno,2019,1130,0.77,1001640,2.53
Fresno,2017,1058,1.14,985393,2.51
Glenn,2020,20,0.01,28822,0.07
Glenn,2015,6,0.01,28001,0.07
Glenn,2021,27,0.01,29007,0.07
Glenn,2018,10,0.01,28134,0.07
Glenn,2019,11,0.01,28525,0.07
Glenn,2017,4,0,28072,0.07
Glenn,2016,7,0.01,28005,0.07
Humboldt,2016,94,0.13,137346,0.35
Humboldt,2020,128,0.09,136514,0.35
Humboldt,2019,143,0.1,136740,0.35
Humboldt,2018,157,0.1,137493,0.35
Humboldt,2021,252,0.1,135467,0.34
Humboldt,2017,125,0.13,137492,0.35
Humboldt,2015,136,0.21,136348,0.35
Imperial,2016,16,0.02,180280,0.46
Imperial,2019,57,0.04,180809,0.46
Imperial,2018,49,0.03,180627,0.46
Imperial,2021,212,0.09,177052,0.45
Imperial,2015,15,0.02,179952,0.46
Imperial,2017,31,0.03,180627,0.46
Imperial,2020,59,0.04,178537,0.45
Inyo,2019,8,0.01,18947,0.05
Inyo,2015,2,0,18911,0.05
Inyo,2017,9,0.01,18945,0.05
Inyo,2016,8,0.01,18956,0.05
Inyo,2020,22,0.02,18977,0.05
Inyo,2021,35,0.01,18931,0.05
Inyo,2018,16,0.01,18953,0.05
Kern,2016,305,0.42,880702,2.25
Kern,2019,594,0.41,903150,2.28
Kern,2020,706,0.49,907021,2.29
Kern,2021,1703,0.69,908283,2.31
Kern,2018,616,0.4,895655,2.27
Kern,2015,310,0.48,878081,2.26
Kern,2017,380,0.41,888203,2.26
Kings,2015,20,0.03,148525,0.38
Kings,2018,75,0.05,151040,0.38
Kings,2020,88,0.06,153085,0.39
Kings,2017,56,0.06,148933,0.38
Kings,2016,31,0.04,147615,0.38
Kings,2021,207,0.08,153617,0.39
Kings,2019,63,0.04,151691,0.38
Lake,2021,79,0.03,68082,0.17
Lake,2016,32,0.04,66945,0.17
Lake,2019,50,0.03,68114,0.17
Lake,2015,27,0.04,66931,0.17
Lake,2018,47,0.03,68358,0.17
Lake,2020,43,0.03,68099,0.17
Lake,2017,39,0.04,67963,0.17
Lassen,2019,4,0,32857,0.08
Lassen,2015,3,0,31697,0.08
Lassen,2020,3,0,32025,0.08
Lassen,2021,5,0,31377,0.08
Lassen,2017,2,0,32655,0.08
Lassen,2016,3,0,32309,0.08
Lassen,2018,2,0,32936,0.08
Los Angeles,2017,26766,28.86,10114636,25.72
Los Angeles,2015,16892,26.4,10083826,25.91
Los Angeles,2018,39657,25.61,10100671,25.59
Los Angeles,2016,21263,29.34,10099858,25.81
Los Angeles,2021,67296,27.21,9944953,25.26
Los Angeles,2019,38219,26.13,10063851,25.46
Los Angeles,2020,38249,26.6,10012474,25.32
Madera,2021,272,0.11,156654,0.4
Madera,2020,106,0.07,156519,0.4
Madera,2015,53,0.08,152897,0.39
Madera,2016,47,0.06,153136,0.39
Madera,2019,87,0.06,155291,0.39
Madera,2018,81,0.05,155476,0.39
Madera,2017,89,0.1,154238,0.39
Marin,2017,1468,1.58,264753,0.67
Marin,2021,3502,1.42,260416,0.66
Marin,2019,2132,1.46,263917,0.67
Marin,2018,2228,1.44,264944,0.67
Marin,2015,1105,1.73,263964,0.68
Marin,2016,1139,1.57,265181,0.68
Marin,2020,2260,1.57,262410,0.66
Mariposa,2017,5,0.01,154238,0.39
Mariposa,2019,15,0.01,155291,0.39
Mariposa,2021,30,0.01,156654,0.4
Mariposa,2020,14,0.01,156519,0.4
Mariposa,2018,27,0.02,155476,0.39
Mariposa,2015,4,0.01,152897,0.39
Mariposa,2016,9,0.01,153136,0.39
Mendocino,2020,112,0.08,262410,0.66
Mendocino,2015,96,0.15,263964,0.68
Mendocino,2021,190,0.08,260416,0.66
Mendocino,2018,159,0.1,264944,0.67
Mendocino,2017,99,0.11,264753,0.67
Mendocino,2019,107,0.07,263917,0.67
Mendocino,2016,77,0.11,265181,0.68
Merced,2020,169,0.12,17123,0.04
Merced,2018,147,0.09,17345,0.04
Merced,2019,149,0.1,17213,0.04
