Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Alameda,Electric,BMW,i3,109,90015,Electric
2015,Alameda,Electric,Chevrolet,Spark EV,181,90016,Electric
2015,Alameda,Electric,FIAT,500e,924,90018,Electric
2015,Alameda,Electric,Ford,Focus,92,90019,Electric
2015,Alameda,Electric,Kia,Soul EV,59,90020,Electric
2015,Alameda,Electric,Mercedes-Benz,B-Class,164,90021,Electric
2015,Alameda,Electric,Mitsubishi,i-MiEV,3,90024,Electric
2015,Alameda,Electric,Nissan,Leaf,1170,90025,Electric
2015,Alameda,Electric,Smart,Fortwo Electric Drive,31,90026,Electric
2015,Alameda,Electric,Tesla,Model S,643,90027,Electric
2015,Alameda,Electric,Tesla,Model X,4,90028,Electric
2015,Alameda,Electric,Toyota,RAV4 EV,5,90029,Electric
2015,Alameda,Electric,Volkswagen,e-Golf,385,90032,Electric
2015,Alameda,PHEV,BMW,i3 REx,281,90033,Electric
2015,Alameda,PHEV,BMW,i8,13,90034,Electric
2015,Alameda,PHEV,BMW,X5,8,90035,Electric
2015,Alameda,PHEV,Cadillac,ELR,10,90038,Electric
2015,Alameda,PHEV,Chevrolet,Volt,593,90039,Electric
2015,Alameda,PHEV,Ford,C-MAX Energi,167,90041,Electric
2015,Alameda,PHEV,Ford,Fusion Energi,244,90042,Electric
2015,Alameda,PHEV,Honda,Accord PHEV,7,90043,Electric
2015,Alameda,PHEV,Porsche,Cayenne,10,90045,Electric
2015,Alameda,PHEV,Porsche,Panamera,3,90046,Electric
2015,Alameda,PHEV,Toyota,Prius PHEV,429,90047,Electric
2015,Alameda,PHEV,Volvo,XC90,1,90048,Electric
2015,Amador,Electric,FIAT,500e,2,90049,Electric
2015,Amador,Electric,Nissan,Leaf,1,90055,Electric
2015,Amador,Electric,Tesla,Model S,4,90064,Electric
2015,Amador,Electric,Toyota,RAV4 EV,1,90065,Electric
2015,Amador,PHEV,Chevrolet,Volt,6,90066,Electric
2015,Amador,PHEV,Ford,Fusion Energi,1,90067,Electric
2015,Butte,Electric,BMW,i3,1,90068,Electric
2015,Butte,Electric,Chevrolet,Spark EV,1,90069,Electric
2015,Butte,Electric,FIAT,500e,5,90071,Electric
2015,Butte,Electric,Ford,Focus,1,90077,Electric
2015,Butte,Electric,Nissan,Leaf,4,90089,Electric
2015,Butte,Electric,Smart,Fortwo Electric Drive,1,90094,Electric
2015,Butte,Electric,Tesla,Model S,9,90095,Electric
2015,Butte,Electric,Volkswagen,e-Golf,3,90210,Electric
2015,Butte,PHEV,BMW,i3 REx,1,90211,Electric
