county,year,number_sales
Alameda,2022,9292
Alameda,2017,7056
Alameda,2019,11781
Alameda,2016,5327
Alameda,2015,5536
Alameda,2020,9978
Alameda,2021,15264
Alameda,2018,12578
Alpine,2021,11
Alpine,2018,1
Alpine,2017,1
Alpine,2022,3
Alpine,2019,3
Alpine,2020,2
Amador,2016,14
Amador,2017,21
Amador,2015,15
Amador,2022,45
Amador,2021,65
Amador,2018,35
Amador,2019,31
Amador,2020,35
Butte,2016,50
Butte,2021,348
Butte,2020,209
Butte,2022,207
Butte,2019,170
Butte,2018,183
Butte,2017,88
Butte,2015,50
Calaveras,2020,54
Calaveras,2017,24
Calaveras,2016,19
Calaveras,2015,16
Calaveras,2019,45
Calaveras,2018,50
Calaveras,2022,82
Calaveras,2021,92
Colusa,2016,2
Colusa,2017,3
Colusa,2018,8
Colusa,2022,14
Colusa,2020,5
Colusa,2019,3
Colusa,2015,3
Colusa,2021,18
Contra Costa,2019,5720
Contra Costa,2021,9583
Contra Costa,2022,5596
Contra Costa,2017,3475
Contra Costa,2018,6420
Contra Costa,2015,2609
Contra Costa,2016,2599
Contra Costa,2020,5672
Del Norte,2021,13
Del Norte,2015,6
Del Norte,2017,9
Del Norte,2016,2
Del Norte,2020,11
Del Norte,2018,13
Del Norte,2019,16
Del Norte,2022,8
El Dorado,2018,584
El Dorado,2020,598
El Dorado,2017,316
El Dorado,2019,547
El Dorado,2016,198
El Dorado,2022,631
El Dorado,2015,214
El Dorado,2021,937
Fresno,2015,541
Fresno,2021,2364
Fresno,2020,1172
Fresno,2018,1107
Fresno,2022,1616
Fresno,2017,1058
Fresno,2016,788
Fresno,2019,1130
Glenn,2015,6
Glenn,2018,10
Glenn,2016,7
Glenn,2021,27
Glenn,2022,15
Glenn,2020,20
Glenn,2019,11
Glenn,2017,4
Humboldt,2020,128
Humboldt,2019,143
Humboldt,2022,142
Humboldt,2021,252
Humboldt,2016,94
Humboldt,2015,136
Humboldt,2018,157
Humboldt,2017,125
Imperial,2021,212
Imperial,2016,16
Imperial,2017,31
Imperial,2020,59
Imperial,2019,57
Imperial,2018,49
Imperial,2022,136
Imperial,2015,15
Inyo,2020,22
Inyo,2017,9
Inyo,2022,16
Inyo,2019,8
Inyo,2018,16
Inyo,2016,8
Inyo,2021,35
Inyo,2015,2
Kern,2015,310
Kern,2018,616
Kern,2020,706
Kern,2022,1079
Kern,2017,380
Kern,2016,305
Kern,2019,594
Kern,2021,1703
Kings,2020,88
Kings,2015,20
