year,car_main,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
2015,2014 Toyota Prius Plug-in,1,125000,2.95,1,3,1.95,80,0,2,2837.0
2017,2012 Toyota Prius Plug-in,1,475000,2.73,1,4,16.46,45,0,2,12580.64516
2016,2016 Chevrolet Volt,1,75000,1.9,1,4,13.2,65,0,2,5299.2
2017,2017 Honda Clarity,1,125000,2.87,1,3,12.97,65,0,1,12588.0
2015,2013 Toyota Prius Plug-in,1,175000,2.5,1,4,2.43,45,0,2,7304.347826
2015,2014 Toyota Prius Plug-in,1,125000,0.0,1,3,20.85,55,1,3,10285.71429
2017,2016 BMW i3,1,125000,2.78,0,4,2.34,45,1,1,2430.0
2017,2016 Audi A3 Sportback e-tron,1,125000,-3.0,1,3,12.72,35,0,1,16000.0
2015,2013 Tesla Model S,1,275000,-1.63,1,4,12.14,35,0,2,16363.63636
2016,2016 Audi A3 Sportback e-tron,1,375000,2.14,1,4,6.33,45,0,2,7800.0
2016,2015 Tesla Model S,1,500000,2.36,1,3,5.46,80,0,3,15101.25
2016,2015 BMW i3,1,175000,2.32,1,2,14.48,45,0,2,17565.0
2016,2015 Ford Fusion Energi,1,125000,2.6,1,3,24.69,55,0,2,33750.0
2015,2014 Honda Accord Plug-in Hybrid,1,225000,2.68,1,4,321.51,65,1,5,16931.42857
2015,2013 Toyota Prius Plug-in,1,500000,2.6,1,4,12.21,55,0,2,7894.736842
2015,2013 Tesla Model S,1,500000,0.96,1,4,17.03,45,0,2,14839.76471
2017,2017 Chevrolet Bolt EV,1,125000,2.78,1,3,1.22,35,0,3,13788.0
2017,2016 Hyundai Sonata Plug-in Hybrid,1,75000,2.58,1,3,26.77,35,1,1,19000.0
2015,2011 Nissan Leaf,1,125000,2.5,1,4,32.81,55,1,4,19565.21739
2015,2013 Tesla Model S,1,175000,2.57,1,4,27.9,65,0,3,12521.73913
2017,2017 Toyota Mirai,1,500000,2.74,1,3,18.86,65,0,3,9000.0
2015,2014 Fiat 500e,1,125000,2.78,1,4,4.35,80,0,2,8976.0
2016,2015 Nissan Leaf,1,175000,2.58,1,4,2.52,65,0,3,3821.333333
2017,2016 Tesla Model S,1,50000,1.28,1,2,34.16,65,0,1,294895.0
2017,2016 Nissan Leaf,1,175000,2.01,1,3,15.82,45,0,2,19200.0
2015,2013 Tesla Model S,1,175000,2.74,1,4,1.91,55,0,2,10654.73684
2016,2015 Nissan Leaf,1,225000,-3.0,1,4,28.37,35,1,2,13028.57143
2016,2015 Ford C-Max Energi,1,175000,2.81,1,2,9.87,45,1,2,10094.66667
2017,2012 Toyota Prius Plug-in,1,225000,2.57,1,4,11.77,65,0,2,5600.0
2016,2016 Volkswagen e-Golf,1,325000,0.0,1,2,11.71,55,0,2,10266.66667
2016,2016 Chevrolet Volt,1,175000,2.15,1,4,22.83,35,1,2,21272.72727
2015,2013 Fiat 500e,1,475000,0.0,1,4,5.33,65,0,2,2842.105263
2015,2014 Toyota Prius Plug-in,1,75000,2.63,1,3,7.72,75,0,3,10909.09091
2015,2014 Chevrolet Spark EV,1,75000,2.78,1,3,5.43,45,1,2,3722.769231
2015,2013 Fiat 500e,1,75000,2.62,1,4,3.91,45,0,3,8400.0
2015,2014 Chevrolet Spark EV,1,125000,2.81,1,3,3.43,55,1,1,9837.6
2015,2012 Nissan Leaf,1,125000,-1.31,0,4,3.22,25,0,2,7400.0
2016,2015 BMW i3,1,225000,2.56,1,3,6.15,45,0,3,9600.0
2016,2015 Nissan Leaf,1,275000,1.55,1,4,23.3,35,1,2,12190.5
2017,2016 Nissan Leaf,1,275000,2.92,1,4,8.5,65,0,2,6236.0
2017,2017 Chevrolet Bolt EV,1,125000,2.78,1,2,15.76,55,0,2,16212.0
2015,2014 Chevrolet Spark EV,1,125000,2.41,1,3,26.27,75,0,2,6384.705882
2016,2015 BMW i3,1,325000,-0.57,1,3,11.56,25,1,2,8979.6
2017,2014 Toyota Prius Plug-in,1,175000,2.53,1,4,12.89,65,0,2,6000.0
2015,2014 Chevrolet Volt,1,225000,2.1,1,3,12.73,35,0,2,10680.0
2016,2016 Kia Soul EV,1,175000,2.66,0,2,12.69,65,0,2,8436.0
2017,2017 Toyota Mirai,1,125000,2.8,1,4,13.37,45,0,2,13268.4
2017,2017 Chevrolet Bolt EV,1,175000,-3.0,0,3,23.91,35,0,3,13200.0
2015,2014 Nissan Leaf,1,75000,2.63,0,3,18.01,35,0,3,9494.117647
2016,2014 BMW i3,1,75000,2.68,0,3,11.7,35,0,2,9657.142857
2016,2015 Tesla Model S,1,500000,2.86,1,4,2.64,55,0,2,12000.0
2016,2015 Tesla Model S,1,175000,1.11,1,4,9.22,75,0,2,6248.4
2017,2016 Ford C-Max Energi,1,175000,1.57,1,4,21.52,55,0,2,20573.14286
2015,2014 Ford Fusion Energi,1,125000,2.76,1,4,10.58,55,0,2,10350.0
2015,2012 Nissan Leaf,1,225000,2.78,1,4,2.97,45,0,3,6666.666667
2016,2016 Volvo XC90,1,500000,2.63,1,3,10.26,45,0,2,12000.0
2016,2015 Tesla Model S,1,175000,2.33,0,4,122.44,55,0,2,9333.333333
2016,2015 Ford C-Max Energi,1,125000,2.85,1,4,2.07,45,0,1,1500.0
2017,2017 Toyota Prius Prime,1,175000,0.95,1,4,32.74,55,0,3,24828.0
2017,2017 BMW i3,1,125000,2.73,1,3,8.94,55,0,1,6450.0
2015,2015 Fiat 500e,1,125000,1.67,1,3,4.67,35,0,2,16140.0
2017,2017 Chevrolet Bolt EV,1,125000,2.92,1,3,5.31,65,0,3,19140.0
2017,2017 Chevrolet Volt,1,75000,1.43,1,2,21.48,65,0,2,84382.5
2017,2016 Volkswagen e-Golf,1,225000,2.17,0,4,3.55,35,0,2,3400.0
2015,2014 Honda Accord Plug-in Hybrid,1,175000,1.8,1,4,30.56,55,1,3,24023.33333
2017,2016 Tesla Model X,1,325000,2.7,1,4,9.72,35,0,2,12600.0
2015,2012 Chevrolet Volt,1,375000,2.2,1,4,2.61,55,1,4,98746.2439
2016,2015 BMW i3,1,75000,-2.6,0,4,12.76,25,1,2,15428.57143
2016,2015 Chevrolet Volt,1,125000,0.0,1,3,32.54,45,0,3,5454.545455
2016,2015 Chevrolet Volt,1,50000,0.0,1,3,1.75,65,0,2,8117.647059
2015,2013 Nissan Leaf,1,125000,2.55,1,2,14.76,65,0,2,11400.0
2016,2016 Chevrolet Volt,1,125000,2.67,0,2,0.39,55,0,2,14760.0
2015,2014 Fiat 500e,1,75000,-2.94,1,4,5.83,75,0,2,3064.615385
2017,2014 Toyota Prius Plug-in,1,125000,2.78,1,3,72.69,65,1,2,14803.33333
2017,2016 Ford C-Max Energi,1,125000,2.56,1,4,8.43,65,0,2,7150.285714
2016,2016 Nissan Leaf,1,75000,2.03,0,2,7.83,25,0,2,6000.0
2016,2016 Chevrolet Volt,1,225000,2.6,1,4,10.13,45,0,2,6960.0
2017,2017 Chevrolet Bolt EV,1,75000,2.96,1,2,3.09,55,0,2,9000.0
2017,2017 Chevrolet Bolt EV,1,175000,2.95,1,3,1.97,35,0,2,8000.0
2015,2014 BMW i3,1,225000,1.5,1,4,2.67,75,0,2,3333.333333
2017,2017 Chevrolet Bolt EV,1,75000,2.86,1,3,4.62,65,1,2,6000.0
2016,2015 BMW i3,1,375000,2.59,1,4,6.04,35,0,2,6171.428571
2017,2017 Chevrolet Bolt EV,1,325000,0.03,1,3,17.29,55,1,2,13000.0
2017,2017 Chevrolet Volt,1,75000,2.12,1,2,21.63,55,0,2,15245.45455
2015,2014 Ford C-Max Energi,1,175000,2.03,1,3,10.97,45,0,3,13500.0
2017,2016 Volkswagen e-Golf,1,50000,2.64,0,3,12.89,35,0,1,9600.0
2015,2014 Fiat 500e,1,75000,1.31,0,3,14.87,45,1,2,9600.0
2016,2016 Fiat 500e,1,225000,2.81,1,4,19.72,45,1,3,9804.0
2016,2014 Ford C-Max Energi,1,125000,0.32,0,3,4.41,25,0,2,20000.0
2016,2016 Chevrolet Volt,1,275000,-0.39,0,4,27.9,45,0,2,14000.0
2016,2016 Chevrolet Volt,1,275000,2.76,1,4,32.92,35,1,2,12923.07692
2015,2014 Toyota Prius Plug-in,1,75000,2.57,0,4,5.04,35,0,1,15600.0
2016,2015 Nissan Leaf,1,50000,2.71,0,2,9.01,25,0,2,11400.0
2017,2016 Toyota Mirai,1,225000,2.61,1,3,45.25,55,0,2,8666.666667
2015,2014 Honda Fit EV,1,75000,2.74,1,3,13.74,55,0,4,10875.0
2015,2014 Toyota Prius Plug-in,1,125000,2.61,1,4,2.82,55,0,3,18750.0
2015,2012 Toyota Prius Plug-in,1,275000,-3.0,1,4,40.7,55,0,4,26545.45455
2015,2013 Ford Fusion Energi,1,175000,2.69,1,2,12.97,18,0,3,10537.92
2016,2016 Chevrolet Volt,1,425000,2.59,1,4,18.72,35,0,1,11700.0
2017,2017 Chevrolet Volt,1,75000,2.79,1,3,28.22,55,0,1,24000.0
2015,2014 Toyota Prius Plug-in,1,125000,2.41,1,4,38.7,75,0,2,9643.2
2015,2013 Nissan Leaf,1,225000,2.8,0,4,24.23,45,0,2,7842.857143
2016,2015 Nissan Leaf,1,75000,1.4,1,3,1.23,45,1,1,6971.428571
2017,2017 Chevrolet Volt,1,50000,2.58,0,3,12.66,35,0,1,6900.0
2015,2013 Ford Fusion Energi,1,125000,0.13,1,2,152.65,45,1,2,38181.81818
2017,2017 Tesla Model S,1,225000,-0.71,1,4,47.9,35,0,2,11520.0
2016,2015 Tesla Model S,1,125000,2.78,1,2,5.92,65,0,2,8108.307692
2015,2014 Tesla Model S,1,225000,0.98,1,3,13.19,35,0,2,16615.38462
2015,2014 Chevrolet Volt,1,75000,-2.71,0,2,2.11,35,1,1,15700.8
2017,2017 Chevrolet Bolt EV,1,125000,2.99,0,3,37.94,65,0,1,16320.0
2015,2013 Toyota Prius plug in,1,125000,2.5,0,4,1.9,55,0,1,11200.0
2015,2014 Chevrolet Spark EV,1,75000,2.54,0,3,16.3,35,0,2,13090.90909
2017,2017 Chevrolet Bolt EV,1,125000,2.74,1,3,23.84,65,0,2,9400.0
2017,2017 Toyota Prius Prime,1,325000,2.7,1,3,0.01,65,0,2,7200.0
2015,2012 Toyota Prius Plug-in,1,75000,-0.45,1,4,4.1,45,1,1,12077.41935
2015,2013 Chevrolet Volt,1,175000,0.52,1,3,10.98,55,0,2,29321.0
2016,2016 Tesla Model S,1,325000,-1.91,0,3,22.65,25,0,2,15000.0
2017,2017 Toyota Mirai,1,475000,0.26,1,4,22.83,55,0,3,2905.263158
2017,2016 Tesler  75d,1,75000,2.62,1,3,9.7,55,1,2,15000.0
2015,2011 Nissan Leaf,1,125000,2.29,1,3,30.16,55,0,4,12355.88571
2016,2015 Chevrolet Volt,1,125000,1.92,1,4,38.62,35,0,2,19384.61538
2016,2015 Nissan Leaf,1,375000,1.3,1,3,26.51,45,0,3,16200.0
2016,2015 Tesla Model S,1,275000,0.28,1,3,2.44,65,0,3,11367.69231
2017,2017 Chevrolet Volt,1,275000,2.1,1,3,27.64,45,0,3,13268.30769
2017,2016 Ford C-Max Energi,1,75000,2.75,0,4,43.01,45,0,1,11424.0
2016,2015 Tesla Model S,1,125000,2.61,1,3,5.59,80,0,1,6515.25
